,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
25,boat,1199,6990,82.84692418,4,27771,Watch Flash,,,Silicon,Yes,8,Yes,1.3 inches,50 - 75 g
26,boat,1799,6990,74.26323319,3.9,2931,Watch Blaze,,,Metal,Yes,8,Yes,1.8 inches,35 - 50 g
27,boat,1999,7990,74.98122653,3.8,21724,Wave Call,,,Silicon,Yes,8,Yes,1.7 inches,35 - 50 g
28,boat,2599,7990,67.4718398,4.2,71481,8.90E+12,,,Silicon,Yes,8,Yes,,75g +
29,boat,1999,7990,74.98122653,3.6,827,,,,,,8,Yes,,35 - 50 g
30,boat,1999,7990,74.98122653,3.6,827,,,,,,8,Yes,,75g +
31,boat,1199,6990,82.84692418,4,27771,Watch Flash,,,Silicon,Yes,8,Yes,1.3 inches,50 - 75 g
32,noise,1799,4999,64.01280256,4,69803,Wrb-sw-colorfitpulse2-std-blu_blu,,,Other,Yes,,Yes,1.8 inches,35 - 50 g
33,boat,1699,6990,75.69384835,3.9,23498,Wave Lite,,,Stainless Steel,Yes,8,Yes,1.7 inches,35 - 50 g
34,noise,1799,4999,64.01280256,4.1,13901,wrb-sw-colorfitpulsegobuzz-std-grn_grn,,,Other,Yes,8,Yes,1.7 inches,35 - 50 g
35,boat,1199,6990,82.84692418,4,27771,Watch Flash,,,Silicon,Yes,8,Yes,1.3 inches,50 - 75 g
36,boat,1449,5990,75.8096828,3.9,3944,,,,,,,Yes,1.7 inches,35 - 50 g
37,boat,1899,6499,70.78012002,3.7,328,,,,,Yes,8,Yes,1.7 inches,35 - 50 g
38,boat,2199,7999,72.50906363,,,BoAt Wave Call Plus,,,,Yes,,Yes,1.8 inches,75g +
39,honor,11499,18999,39.47576188,3.9,406,MUS-B19,,,,Yes,12.5,Yes,1.4 inches,35 - 50 g
40,honor,2199,1868,-17.71948608,4.1,181,ARG-B39-cr,,,,Yes,3.5,Yes,1.5 inches,<= 20 g
41,honor,11499,9773,-17.66090249,4.2,20,MUS-B19-cr,,,,Yes,12.5,Yes,1.4 inches,35 - 50 g
42,honor,14999,12499,-20.00160013,3.9,100,Talos-B19S-cr,,,Other,,0.75,Yes,1.2 inches,75g +
43,crossbeats,2999,9999,70.0070007,4.3,674,Grit,,,,Yes,12.5,Yes,1.8 inches,20 - 35 g
44,honor,8999,14999,40.00266684,4.4,7792,,,,,,,Yes,1.4 inches,35 - 50 g
45,crossbeats,5999,14999,60.00400027,4.3,996,Infinti 2.0,,,,Yes,8,Yes,1.4 inches,20 - 35 g
46,honor,8999,7473,-20.42017931,4.1,323,Minos-B19S-cr,,,Other,Yes,0.75,Yes,1.4 inches,75g +
47,samsung,11999,30990,61.28105841,4.1,72,,,,,,,Yes,,35 - 50 g
48,samsung,18410,37999,51.55135661,4.3,5228,,,,,,3.6,Yes,4.6 inches,50 - 75 g
49,samsung,,,,4.3,5228,,,,,,3.6,Yes,4.4 inches,20 - 35 g
50,samsung,17999,19990,9.95997999,4.3,5228,,,,,,3.6,Yes,4.4 inches,20 - 35 g
51,samsung,18000,34999,48.56995914,4.3,5228,,,,,,,Yes,,75g +
52,garmin,16990,22490,24.45531347,4.3,312,GM-010-02427-80,,,Silicon,Yes,22,Yes,1.3 inches,35 - 50 g
53,garmin,27990,36490,23.29405317,4.5,4339,,,,,,,,,<= 20 g
54,garmin,,,,3.7,6,,,,,Yes,22,Yes,35.9 inches,35 - 50 g
55,garmin,18990,27990,32.15434084,4.3,19,,,,,,,,,<= 20 g
56,garmin,,,,5,1,,,,,Yes,22,Yes,35.9 inches,35 - 50 g
57,garmin,34990,51990,32.69859588,4.3,19,GM-010-02445-60,,,Carbon-Fiber;,,8,Yes,,35 - 50 g
58,garmin,,,,3.8,38,7.54E+11,,,Stainless Steel,Yes,8,Yes,30.0 inches,75g +
59,garmin,20990,25990,19.23816853,4.3,127,,,,,,,,,<= 20 g
60,garmin,18990,20490,7.320644217,3.5,7,,,,,,,,,
61,garmin,78490,89460,12.26246367,4.4,6,,,,,,,,,<= 20 g
62,huawei,26581,42513,37.4755957,4.7,830,,,,,,,Yes,1.4 inches,35 - 50 g
63,huawei,16499,29999,45.00150005,4.7,7108,,,,,,,Yes,1.4 inches,35 - 50 g
64,huawei,6400,11999,46.66222185,4.5,49,Leia-B19,,,,,8,Yes,0.5 inches,75g +
65,noise,3799,7999,52.50656332,3.8,545,Wrb-sw-colorfitpro4alpha-std-slvr_gry,,,,,8,Yes,,35 - 50 g
66,dizo,2126,5999,64.56076013,3.7,18,,,,,Yes,8,Yes,1.9 inches,20 - 35 g
67,dizo,2126,5999,64.56076013,3.7,18,,,,,Yes,8,Yes,1.9 inches,20 - 35 g
68,dizo,2999,1669,-79.68843619,4,2,,,,,,,Yes,,75g +
69,dizo,,,,2.4,7,,,,,,,Yes,,75g +
70,dizo,2126,5999,64.56076013,3.7,18,,,,,Yes,8,Yes,1.9 inches,20 - 35 g
71,fire-boltt,,,,4.3,39274,BSW049,,,Silicon,Yes,3.5,Yes,1.3 inches,35 - 50 g
72,dizo,4299,6999,38.57693956,2.5,2,,,,,,8,Yes,,75g +
73,fire-boltt,1299,9999,87.00870087,4.2,25784,BSW030,,,Silicon,Yes,8,Yes,1.7 inches,35 - 50 g
74,fire-boltt,1799,9999,82.00820082,4.2,33415,BSW042,,,Silicon,Yes,8,Yes,1.3 inches,50 - 75 g
75,noise,1799,4999,64.01280256,4.1,13901,wrb-sw-colorfitpulsegobuzz-std-rgld_pnk,,,Other,Yes,8,Yes,1.7 inches,35 - 50 g
76,gizmore,1699,5499,69.10347336,2.7,10,,,,,,,Yes,,75g +
77,gizmore,1599,5999,73.34555759,4.3,37,GIZFIT 908 Pro_Black,,,,Yes,12.5,Yes,1.7 inches,75g +
78,gizmore,1499,5999,75.01250208,,,Gizmore Ultra smartwatch-cr,,,,,,Yes,,75g +
79,gizmore,1699,7999,78.75984498,2,5,,,,,Yes,,Yes,1.7 inches,50 - 75 g
80,gizmore,3299,5999,45.00750125,4,102,Gizfit 910,,,,Yes,8,Yes,1.3 inches,75g +
81,gizmore,1499,5999,75.01250208,3,2,,,,,,,Yes,,75g +
82,gizmore,3299,5999,45.00750125,4,102,910,,,Plastic,Yes,12.5,Yes,1.3 inches,75g +
83,gizmore,1699,5499,69.10347336,2.5,3,Gizfit Blaze Smartwatch-cr,,,,,,Yes,,75g +
84,ambrane,2368,4499,47.36608135,3.5,301,FitShot Curl,,,,,12.5,Yes,,35 - 50 g
85,ambrane,2199,4999,56.01120224,3.9,256,FitShot Sphere,,,,Yes,8,Yes,,35 - 50 g
86,fire-boltt,1799,2199,18.1900864,4.3,39274,BSW049,,,Silicon,Yes,3.5,Yes,1.3 inches,35 - 50 g
87,fire-boltt,1999,7999,75.00937617,4.1,33012,BSW024,,,Silicon,Yes,8,Yes,1.7 inches,35 - 50 g
88,zebronics,1799,6499,72.31881828,3.8,2138,ZEB-DRIP,,,,Yes,3.5,Yes,4.3 inches,35 - 50 g
89,noise,1799,3999,55.01375344,4,32704,wrb-sw-colorfitgrand-std-cgry_cgry,,,Other,Yes,8,Yes,1.7 inches,35 - 50 g
90,pebble,2999,6999,57.15102157,3.8,3563,PFB22 Mint Green,,,,Yes,8,Yes,1.8 inches,75g +
91,pebble,4499,7499,40.00533404,3.6,94,PFB13 Charcoal Black,,,,Yes,12.5,Yes,1.3 inches,35 - 50 g
92,pebble,,,,3.6,725,PFB16 Black Rock,,,,Yes,12.5,Yes,1.3 inches,50 - 75 g
93,pebble,4299,7499,42.67235631,3.6,55,PFB24,,,,Yes,,Yes,1.1 inches,35 - 50 g
94,crossbeats,3999,11999,66.67222269,3.9,3856,S4 Max,,,,Yes,3.6,Yes,1.9 inches,20 - 35 g
95,crossbeats,3999,7999,50.00625078,3.9,3856,S4 Max,,,,Yes,3.6,Yes,1.9 inches,20 - 35 g
96,fire-boltt,2499,9999,75.00750075,4.1,2571,BSW072,,,,Yes,8,Yes,2.0 inches,75g +
97,hammer,1799,4999,64.01280256,3.6,516,,,,,,,Yes,1.8 inches,75g +
98,zebronics,2099,7999,73.7592199,3.8,7386,ZEB-FIT7220CH (Metallic Silver),,,Metal,Yes,8,Yes,4.4 inches,75g +
99,zebronics,1999,3999,50.01250313,3.8,2452,Zeb-Fit280CH(Blue),,,Other,Yes,8,Yes,3.5 inches,75g +
100,zebronics,2449,8499,71.18484528,3.9,207,,,,,Yes,8,Yes,,35 - 50 g
101,zebronics,1399,3999,65.01625406,4,311,,,,,,,Yes,4.3 inches,35 - 50 g
102,zebronics,1799,6499,72.31881828,3.8,2138,ZEB-DRIP (BLUE),,,,,3.5,Yes,,35 - 50 g
103,zebronics,3499,11499,69.57126707,4.2,52,ZEB FIT 4 - BLACK (ICONIC ULTRA),,,,Yes,0.75,Yes,1.8 inches,50 - 75 g
104,zebronics,3599,10999,67.27884353,3.9,1611,ZEB - COSMOS Lv1 - METALLIC BLACK,,,,Yes,8,Yes,4.5 inches,50 - 75 g
105,zebronics,1999,6999,71.43877697,3.8,2138,ZEB-DRIP (METAL SILVER),,,,Yes,3.5,Yes,4.3 inches,35 - 50 g
106,zebronics,2399,5999,60.01000167,3.8,3805,ZEB-FIT5220CH(Gold Metal),,,Other,Yes,22,Yes,4.4 inches,35 - 50 g
107,zebronics,,,,3.5,100,ZEB-FIT7220CH (Metallic Silver)-cr,,,,Yes,8,Yes,4.4 inches,75g +
108,zebronics,3599,10999,67.27884353,3.9,1611,ZEB - COSMOS Lv1 CLASSIC BLACK,,,,Yes,8,Yes,4.5 inches,50 - 75 g
109,fire-boltt,1299,7999,83.76047006,4.2,25784,BSW030,,,Silicon,Yes,8,Yes,1.7 inches,35 - 50 g
110,fire-boltt,2499,11999,79.17326444,4.1,1990,BSW070,,,,Yes,8,Yes,1.9 inches,75g +
111,fire-boltt,1799,9999,82.00820082,4.2,33415,BSW042,,,Silicon,Yes,8,Yes,1.3 inches,50 - 75 g
112,fire-boltt,2499,9999,75.00750075,4.2,23302,BSW043,,,Silicon,Yes,3.5,Yes,1.8 inches,50 - 75 g
113,fire-boltt,2499,9999,75.00750075,4.2,23302,BSW043,,,Silicon,Yes,3.5,Yes,1.8 inches,50 - 75 g
114,fire-boltt,1794,7999,77.57219652,4.1,33012,BSW024,,,Silicon,Yes,8,Yes,1.7 inches,35 - 50 g
115,fire-boltt,3499,11999,70.8392366,4.1,44170,BSW005,,,Silicon,Yes,3.5,Yes,1.9 inches,75g +
116,fire-boltt,2499,18999,86.84667614,4.2,11,BSW073,,,,Yes,3.5,Yes,1.9 inches,75g +
117,fire-boltt,2499,11999,79.17326444,4.1,1990,BSW070,,,,Yes,8,Yes,1.9 inches,75g +
118,fire-boltt,1399,11999,88.34069506,4.1,1519,BSW037,,,Silicon,Yes,8,Yes,1.8 inches,75g +
119,fire-boltt,1899,8999,78.8976553,4,15543,BSW003,,,Silicon,Yes,8,Yes,1.3 inches,50 - 75 g
120,fire-boltt,1999,7999,75.00937617,4.1,33012,BSW024,,,Silicon,Yes,8,Yes,1.7 inches,35 - 50 g
121,fire-boltt,1799,11999,85.00708392,4.3,39274,BSW100,,,,Yes,3.5,Yes,1.4 inches,75g +
122,apple,29650,29900,0.836120401,4.5,154,Watch SE GPS (2nd Gen),Rectangle,Midnight,Silicon,Yes,22,Yes,1.6 inches,<= 20 g
123,apple,37900,,,4.4,65,Watch SE GPS + Cellular (2nd Gen),Rectangle,Starlight Sport,Silicon,Yes,22,Yes,1.7 inches,<= 20 g
124,apple,23349,23900,2.305439331,4.6,55800,"Watch Series 3 (GPS, 42mm) - Space Grey Aluminium Case with Black Sport Band",Rectangle,Black,Silicon,Yes,22,Yes,1.7 inches,
125,apple,33900,,,4.6,3440,Watch SE GPS + Cellular,Rectangle,Pink,Silicon,Yes,22,Yes,1.6 inches,<= 20 g
126,apple,89900,,,4.7,51,Watch Ultra GPS + Cellular,Rectangle,Orange Alpine,Fabric,Yes,3.5,Yes,1.9 inches,75g +
127,apple,55900,,,4.5,132,Watch Series 8 GPS + Cellular,Rectangle,Starlight Sport,Silicon,Yes,22,Yes,1.6 inches,<= 20 g
128,apple,44730,44900,0.378619154,4.6,2847,"Watch Series7 (GPS, 45mm) - Green Aluminium Case with Clover Sport Band",Rectangle,Green,Aluminium,Yes,22,Yes,1.8 inches,20 - 35 g
129,apple,41900,,,4.6,2847,"Watch Series7 (GPS, 41mm) - Green Aluminium Case with Clover Sport Band",Rectangle,Green,Aluminium,Yes,22,Yes,1.6 inches,<= 20 g
130,apple,29900,,,4.6,5502,"Watch SE (GPS, 40mm) - Gold Aluminium Case with Starlight Sport Band - Regular",Rectangle,Gold,Silicon,Yes,22,Yes,1.6 inches,<= 20 g
131,apple,49666,50900,2.424361493,4.5,1519,"Watch Series7 (GPS + Cellular, 41mm)Blue Aluminium Case-Abyss Blue Sport Band",Rectangle,Blue,Aluminium,Yes,22,Yes,1.6 inches,<= 20 g
132,apple,53900,,,4.5,1519,"Watch Series7 (GPS + Cellular, 45mm)Blue Aluminium Case-Abyss Blue Sport Band",Rectangle,Blue,Aluminium,Yes,22,Yes,1.8 inches,20 - 35 g
133,apple,49900,,,4.5,1349,Watch Series 6 GPS + Cellular,Rectangle,Black,Silicon,Yes,22,Yes,1.6 inches,20 - 35 g
134,apple,48900,,,4.3,158,Watch Series 8 GPS,Rectangle,Starlight Sport,Silicon,Yes,22,Yes,1.8 inches,20 - 35 g
135,apple,29900,,,4.6,5502,"Watch SE(GPS, 40mm) - Silver Aluminium Case with Abyss Blue Sport Band - Regular",Rectangle,Silver,Silicon,Yes,22,Yes,1.6 inches,<= 20 g
136,apple,29900,,,4.6,5502,Apple Watch SE,Rectangle,White,Silicon,Yes,22,Yes,1.6 inches,<= 20 g
137,apple,32899,32900,0.003039514,4.6,5502,"Watch SE (GPS, 44mm) - Space Grey Aluminium Case with Midnight Sport Band",Rectangle,Grey,Silicon,Yes,22,Yes,1.7 inches,20 - 35 g
138,apple,22900,23900,4.184100418,4.6,55800,"Watch Series 3 (GPS, 42mm) - Silver Aluminium Case with White Sport Band",Rectangle,White,Silicon,Yes,22,Yes,1.7 inches,
139,apple,41900,,,4.6,2847,"Watch Series7 (GPS, 41mm) - Midnight Aluminium Case with Midnight Sport Band",Rectangle,Black,Aluminium,Yes,22,Yes,1.6 inches,<= 20 g
140,apple,53900,,,4.5,1519,Watch Series7 (GPS+Cellular-45mm)Green Aluminium Case-Clover Sport Band,Rectangle,Green,Aluminium,Yes,22,Yes,1.8 inches,20 - 35 g
141,apple,44900,,,4.6,2847,Watch Series7 (GPS-45mm) (PRODUCT)RED Aluminium Case-(PRODUCT)RED Sport Band,Rectangle,Red,Aluminium,Yes,22,Yes,1.8 inches,20 - 35 g
142,apple,44900,,,4.6,2847,"Watch Series7 (GPS, 45mm) - Blue Aluminium Case with Abyss Blue Sport Band",Rectangle,Blue,Aluminium,Yes,22,Yes,1.8 inches,20 - 35 g
143,apple,41900,,,4.6,2847,"Watch Series7 (GPS, 41mm) - Blue Aluminium Case with Abyss Blue Sport Band",Rectangle,Blue,Aluminium,Yes,22,Yes,1.6 inches,<= 20 g
144,apple,40900,,,4.5,1720,Watch Series 6 GPS,Rectangle,Black,Silicon,Yes,22,Yes,1.6 inches,20 - 35 g
145,apple,41900,,,4.6,2847,"Watch Series7 (GPS, 41mm) - Starlight Aluminium Case with Starlight Sport Band",Rectangle,White,Aluminium,Yes,22,Yes,1.6 inches,<= 20 g
146,apple,32900,,,4.6,5502,"Watch SE (GPS, 44mm) - Gold Aluminium Case with Starlight Sport Band - Regular",Rectangle,Gold,Silicon,Yes,22,Yes,1.7 inches,20 - 35 g
147,apple,73900,,,4.5,1519,"Watch Series7(GPS+Cellular, 41mm)-Gold Stainless Steel Case-Gold Milanese Loop",Rectangle,Gold,Stainless Steel,Yes,22,Yes,1.6 inches,<= 20 g
148,noise,1999,5999,66.67777963,4.2,80483,"ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance",Rectangle,Black,Silicon,Yes,22,Yes,1.8 inches,
149,noise,1299,3999,67.51687922,4.2,27445,"ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces",Square,Black,Silicon,Yes,22,Yes,1.7 inches,
150,noise,1799,4999,64.01280256,4.2,219512,"Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games",Rectangle,Black,Silicon,Yes,22,Yes,1.7 inches,
151,noise,1499,4999,70.0140028,3.4,504,"ColorFit Caliber 2 with 1.83'' display Up to 12 Day Battery, 60 sports mode",Rectangle,Green,Silicon,Yes,8,Yes,1.8 inches,
152,noise,1599,4999,68.01360272,4.3,4398,"Caliber Buzz Advanced BT Calling(True Sync), 1.69"" display, 500 NITS Brightness",Rectangle,Green,Silicon,Yes,22,Yes,1.7 inches,
153,noise,1499,3999,62.51562891,4.2,275607,"ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes",Square,White,Silicon,Yes,8,Yes,1.7 inches,
154,noise,3999,6999,42.86326618,4.4,12469,"Evolve 3, 1.43"" AMOLED AOD, 466*466px, 500 nits, BT calling,Tru Sync Technology",Circle,Black,Silicon,Yes,22,Yes,1.4 inches,
155,noise,2999,7999,62.50781348,4.3,11755,ColorFit Vision 2 Buzz,Square,Black,Silicon,Yes,22,Yes,1.8 inches,
156,noise,2999,5999,50.00833472,4.3,13108,"ColorFit Pro4 BT Calling 1.72"" TruView Display, Fully-functional digital crown",Rectangle,Black,Silicon,Yes,22,Yes,1.7 inches,
157,noise,2499,6999,64.29489927,4.3,3944,"ColorFit Loop Advanced BT Calling with 1.85"" display,130+Sports Modes",Square,Grey,Silicon,Yes,22,Yes,1.9 inches,
158,noise,1299,4999,74.01480296,4.1,142612,"Qube with 1.4"" Full Touch display, Multi-Sports modes, 7-day Battery,Spo2",Square,Black,Thermo Plastic Polyurethene,Yes,22,Yes,1.4 inches,
159,noise,2999,8999,66.6740749,4.1,22942,"Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2",Circle,Black,Silicon,Yes,22,Yes,1.3 inches,
160,noise,3799,5999,36.6727788,4.2,6004,"ColorFit Pro4 Max 1.8"" BT Calling, Noise detection, Noise Health Suite",Rectangle,Black,Silicon,Yes,22,Yes,1.8 inches,
161,noise,1499,4999,70.0140028,4.1,148555,ColorFit Pro 2,Rectangle,Black,Synthetic,Yes,22,Yes,1.3 inches,<= 20 g
162,noise,1799,5999,70.01166861,4.2,32505,ColorFit Brio,Rectangle,Black,Thermo Plastic Polyurethene,Yes,22,Yes,1.5 inches,
163,noise,1999,5999,66.67777963,4.1,69379,ColorFit Pro 3,Rectangle,Black,Thermo Plastic Polyurethene,Yes,3.5,Yes,1.6 inches,20 - 35 g
164,noise,1499,3999,62.51562891,4,6638,"Core 2 1.28"" Display , Noisefit sync app, 100+ watch faces & 50+ Sports Modes",Circle,Black,Silicon,Yes,22,Yes,1.3 inches,
165,noise,1799,5999,70.01166861,4.1,3506,"ColorFit Caliber 2 Buzz Advanced BT Calling, 1.85"" display,10 days battery",Square,Black,Silicon,Yes,22,Yes,1.8 inches,
166,noise,1799,3999,55.01375344,4.2,5970,X-Fit 2 (HRX Edition) Smart Watch with 1.69inch Display & 60 Sports Modes,Rectangle,Grey,Silicon,Yes,22,Yes,1.7 inches,
167,boat,1799,7990,77.48435544,4.1,125524,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,Rectangle,Blue,Silicon,Yes,22,Yes,1.7 inches,
168,boat,1699,5990,71.6360601,4,98388,"Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes",Rectangle,Black,Silicon,Yes,22,Yes,1.7 inches,
169,boat,2499,8990,72.20244716,4.2,2893,"Wave Infinity with 1.85"" HD Screen, Functional Crown and Bluetooth Calling",Rectangle,Black,Silicon,Yes,22,Yes,1.9 inches,
170,boat,3299,9799,66.33329932,4.1,13261,"Storm Pro Call with Bluetooth Calling, 1.78'' AMOLED Display and ASAP Charge",Rectangle,Red,Silicon,Yes,22,Yes,1.8 inches,
171,boat,1499,5990,74.97495826,4.1,45492,Wave beat 1.69Inch HD display with complete health monitoring,Rectangle,Red,Silicon,Yes,22,Yes,1.6 inches,
172,boat,2499,5990,58.28046745,4.2,39734,"Wave Connect with Bluetooth Calling, Voice Assistant and 1.69"" HD Display",Rectangle,Grey,Silicon,Yes,22,Yes,1.7 inches,
173,boat,1299,6990,81.41630901,3.9,17456,Wave pro 1.69inch HD display withTemperature Sensor and live cricket updates,Rectangle,Purple,Silicon,Yes,22,Yes,1.7 inches,
174,boat,1299,5990,78.31385643,4.1,619130,"Storm 1.3"" CurvedDisplay",Square,Blue,Thermo Plastic Polyurethene,Yes,22,Yes,1.3 inches,
175,boat,1999,8999,77.78642071,3.9,6469,"Storm Pro with 1.78"" AMOLED Display, 700+ Active Modes",Rectangle,Black,Silicon,Yes,22,Yes,1.8 inches,
176,boat,2499,7990,68.72340426,4,8179,Wave Arcade with 1.81 inch HD Display and Bluetooth Calling,Rectangle,Green,Silicon,Yes,22,Yes,1.8 inches,
177,boat,3999,6990,42.78969957,4.2,628,"Wave Ultima with 1.8 inch Curve Arc HD Display, Bluetooth Calling with BT v5.3",Rectangle,Red,Silicon,Yes,22,Yes,1.8 inches,
178,boat,2799,5990,53.2721202,3.9,2406,"Wave Select with 1.69"" HD Display, upto 10 Days Battery, HR & SpO2 Monitoring",Square,Green,Silicon,Yes,22,Yes,1.6 inches,
179,boat,1999,6990,71.40200286,3.9,12026,"Watch Mercury 1.54"" TFTDisplay",Rectangle,Blue,Silicon,Yes,22,Yes,1.5 inches,
180,boat,,,,5,,"Wave Beat Call with BT Calling, 1.69 HD Display & 600+ Watch Face",Rectangle,Black,Silicon,Yes,22,Yes,1.7 inches,
181,boat,2299,6990,67.11015737,3.9,16676,"Vertex 1.69"" HealthEcosystem",Square,Black,Silicon,Yes,22,Yes,1.7 inches,
182,boat,2999,7990,62.46558198,3.8,11340,Xplorer,Square,Black,Silicon,Yes,22,Yes,1.3 inches,
183,honor,8999,14999,40.00266684,4.4,14613,Magic Watch 2 (46mm),Circle,Black,Fluoroelastomer,Yes,8,Yes,1.4 inches,20 - 35 g
184,honor,12999,18999,31.58060951,4.2,84,Watch GS 3,Circle,Blue,Leather,Yes,8,Yes,1.4 inches,20 - 35 g
185,honor,13999,15999,12.5007813,4.4,14613,Magic Watch 2 (46 mm),Circle,Brown,Leather,Yes,8,Yes,1.8 inches,20 - 35 g
186,honor,17999,20999,14.28639459,4.4,1111,Watch GS Pro,Circle,Blue,Nylon,Yes,17.5,Yes,1.4 inches,20 - 35 g
187,honor,4999,10999,54.55041367,4.3,2241,Watch ES,Rectangle,Pink,Silicon,Yes,22,Yes,1.6 inches,<= 20 g
188,honor,9047,17999,49.73609645,4.3,1779,Magic SmartWatch,Circle,Brown,Leather,Yes,22,Yes,1.2 inches,
189,honor,7999,17333,53.8510356,4.3,1779,Watch Magic,Circle,Black,Silicon,Yes,22,Yes,1.2 inches,
190,honor,10999,13999,21.43010215,4.4,14613,Magic Watch 2 (42 mm),Circle,Black,Fluoroelastomer,Yes,22,Yes,1.7 inches,<= 20 g
191,samsung,12990,29999,56.69855662,4.4,35511,"Watch 4, 44mmSuper AMOLED bluetooth calling function & body composition tracking",Circle,Black,Rubber,Yes,3.5,Yes,1.4 inches,<= 20 g
192,samsung,27999,29999,6.666888896,4.3,435,Watch 5 40mmSuper AMOLED displayBluetooth calling & body composition tracking,Circle,Graphite,Rubber,Yes,3.5,Yes,1.2 inches,<= 20 g
193,samsung,35999,39999,10.00025001,4.3,435,Watch 5 44mmSuper AMOLED displayLTE calling & body composition tracking,Circle,Graphite,Rubber,Yes,3.5,Yes,1.4 inches,<= 20 g
194,samsung,22749,37999,40.13263507,4.2,567,Galaxy Watch4 Classic Bluetooth (4.6cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.4 inches,75g +
